satisfaction_employee_environnement,note_evaluation_precedente,niveau_hierarchique_poste,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,eval_number,note_evaluation_actuelle,heure_supplementaires,augementation_salaire_precedente,id_employee,age,genre,revenu_mensuel,statut_marital,departement,poste,nombre_experiences_precedentes,nombre_heures_travailless,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,a_quitte_l_entreprise,nombre_participation_pee,nb_formations_suivies,nombre_employee_sous_responsabilite,distance_domicile_travail,niveau_education,domaine_etude,ayant_enfants,frequence_deplacement,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel
3,3,1,2,1,3,E_508,3,Non,18 %,508,30,M,2476,Marié(e),Commercial,Représentant Commercial,1,80,1,1,0,Non,1,3,1,2,1,Entrepreunariat,Y,Occasionnel,0,0
3,3,1,1,3,3,E_510,4,Non,22 %,510,26,M,3102,Célibataire,Consulting,Assistant de Direction,0,80,7,6,4,Oui,0,2,1,3,1,Entrepreunariat,Y,Frequent,0,4
1,3,1,2,4,3,E_511,3,Non,13 %,511,22,F,2244,Marié(e),Consulting,Assistant de Direction,1,80,2,2,1,Non,1,1,1,11,3,Transformation Digitale,Y,Occasionnel,1,2
2,2,3,3,2,3,E_513,3,Non,13 %,513,36,M,7596,Marié(e),Commercial,Cadre Commercial,1,80,10,10,9,Non,2,2,1,2,2,Transformation Digitale,Y,Occasionnel,9,0
3,3,1,4,3,3,E_514,4,Oui,23 %,514,30,M,2285,Célibataire,Consulting,Assistant de Direction,9,80,3,1,0,Oui,0,4,1,4,3,Entrepreunariat,Y,Frequent,0,0
4,3,1,1,3,2,E_515,3,Non,12 %,515,37,F,3034,Divorcé(e),Consulting,Consultant,1,80,18,18,7,Non,1,2,1,14,3,Infra & Cloud,Y,Occasionnel,12,17
4,3,2,2,3,3,E_516,3,Non,12 %,516,40,F,5715,Divorcé(e),Commercial,Cadre Commercial,7,80,8,5,4,Non,2,5,1,2,2,Marketing,Y,Occasionnel,1,3
2,3,1,1,2,3,E_517,3,Non,16 %,517,42,F,2576,Divorcé(e),Consulting,Consultant,3,80,8,5,2,Non,1,5,1,1,4,Infra & Cloud,Y,Occasionnel,1,2
3,3,2,2,4,2,E_518,3,Oui,12 %,518,37,M,4197,Célibataire,Consulting,Tech Lead,2,80,18,1,0,Non,0,2,1,10,4,Infra & Cloud,Y,Occasionnel,0,1
1,2,4,2,3,3,E_520,3,Non,11 %,520,43,M,14336,Divorcé(e),Consulting,Directeur Technique,1,80,25,25,10,Non,1,3,1,12,3,Infra & Cloud,Y,Occasionnel,3,9
2,2,2,3,2,3,E_521,4,Non,22 %,521,40,F,3448,Marié(e),Consulting,Consultant,6,80,20,1,0,Non,1,3,1,2,3,Transformation Digitale,Y,Occasionnel,0,0
1,3,5,1,3,2,E_522,3,Non,11 %,522,54,M,19406,Marié(e),Consulting,Directeur Technique,4,80,24,4,2,Non,1,4,1,5,2,Transformation Digitale,Y,Occasionnel,1,2
3,3,2,3,1,3,E_523,3,Non,15 %,523,34,F,6538,Marié(e),Commercial,Cadre Commercial,9,80,6,3,2,Non,1,3,1,4,4,Marketing,Y,Aucun,1,2
2,3,2,1,2,1,E_524,3,Non,12 %,524,31,F,4306,Marié(e),Consulting,Tech Lead,1,80,13,13,10,Non,1,5,1,7,2,Transformation Digitale,Y,Occasionnel,3,12
4,3,1,4,1,3,E_525,4,Non,20 %,525,43,M,2258,Marié(e),Consulting,Consultant,7,80,8,3,2,Non,1,1,1,21,3,Transformation Digitale,Y,Frequent,1,2
3,3,2,3,4,3,E_526,3,Oui,14 %,526,43,F,4522,Divorcé(e),Consulting,Manager,4,80,8,5,2,Non,0,3,1,8,4,Autre,Y,Occasionnel,0,2
2,2,2,4,2,3,E_527,3,Oui,11 %,527,25,F,4487,Célibataire,Commercial,Cadre Commercial,1,80,5,5,4,Non,0,3,1,4,2,Infra & Cloud,Y,Occasionnel,1,3
2,3,2,3,1,3,E_529,3,Oui,15 %,529,37,F,4449,Marié(e),Consulting,Assistant de Direction,3,80,15,13,11,Non,2,2,1,25,5,Transformation Digitale,Y,Aucun,10,7
4,2,1,1,3,3,E_530,3,Non,12 %,530,31,M,2218,Marié(e),Consulting,Consultant,1,80,4,4,2,Non,1,3,1,1,2,Infra & Cloud,Y,Occasionnel,3,2
2,3,5,3,3,3,E_531,3,Oui,14 %,531,39,M,19197,Divorcé(e),Consulting,Senior Manager,1,80,21,21,8,Non,1,3,1,1,1,Infra & Cloud,Y,Frequent,1,6
3,4,4,1,4,2,E_532,3,Non,11 %,532,56,F,13212,Marié(e),Commercial,Cadre Commercial,9,80,36,7,7,Non,3,0,1,6,3,Infra & Cloud,Y,Frequent,7,7
2,3,2,3,2,3,E_533,3,Non,11 %,533,30,F,6577,Célibataire,Commercial,Cadre Commercial,0,80,6,5,4,Non,0,6,1,12,3,Entrepreunariat,Y,Occasionnel,4,4
2,4,3,1,3,3,E_534,3,Non,16 %,534,41,M,8392,Marié(e),Commercial,Cadre Commercial,1,80,10,10,7,Non,1,2,1,1,3,Marketing,Y,Occasionnel,0,7
3,3,2,1,4,3,E_536,3,Non,12 %,536,28,M,4558,Divorcé(e),Consulting,Consultant,1,80,10,10,0,Non,1,2,1,17,2,Transformation Digitale,Y,Occasionnel,1,8
1,3,1,1,3,3,E_538,3,Non,13 %,538,25,M,4031,Marié(e),Consulting,Consultant,5,80,6,2,2,Oui,1,5,1,3,3,Transformation Digitale,Y,Occasionnel,0,2
4,2,3,3,3,3,E_543,3,Oui,14 %,543,52,M,7969,Marié(e),Consulting,Tech Lead,2,80,28,5,4,Non,0,4,1,3,3,Transformation Digitale,Y,Occasionnel,0,4
1,3,1,4,4,2,E_544,4,Non,21 %,544,45,M,2654,Marié(e),Consulting,Assistant de Direction,3,80,8,2,2,Non,2,3,1,10,2,Infra & Cloud,Y,Occasionnel,0,2
4,3,4,4,4,1,E_546,3,Non,13 %,546,52,F,16555,Marié(e),Consulting,Senior Manager,2,80,31,5,2,Non,0,2,1,4,2,Infra & Cloud,Y,Occasionnel,1,4
1,3,2,3,2,3,E_547,3,Non,11 %,547,42,F,4556,Divorcé(e),Consulting,Assistant de Direction,2,80,19,5,4,Non,1,3,1,29,2,Infra & Cloud,Y,Frequent,0,2
3,1,2,4,3,3,E_548,4,Non,20 %,548,30,F,6091,Célibataire,Consulting,Tech Lead,2,80,11,5,4,Non,0,2,1,2,3,Infra & Cloud,Y,Occasionnel,0,2
1,3,5,1,4,1,E_549,3,Non,11 %,549,60,F,19566,Marié(e),Consulting,Senior Manager,5,80,33,29,8,Non,0,5,1,7,3,Infra & Cloud,Y,Occasionnel,11,10
3,3,2,3,3,2,E_550,3,Non,14 %,550,46,F,4810,Divorcé(e),Consulting,Tech Lead,2,80,19,10,7,Non,1,5,1,18,3,Transformation Digitale,Y,Occasionnel,0,8
4,2,2,4,4,4,E_551,3,Non,11 %,551,42,F,4523,Marié(e),Consulting,Manager,0,80,7,6,5,Non,3,4,1,28,4,Entrepreunariat,Y,Frequent,0,4
1,3,1,2,2,3,E_554,3,Oui,16 %,554,24,F,3202,Célibataire,Commercial,Représentant Commercial,1,80,6,5,3,Oui,0,4,1,1,1,Entrepreunariat,Y,Occasionnel,1,4
4,1,1,3,4,2,E_555,3,Non,16 %,555,34,F,2351,Divorcé(e),Commercial,Représentant Commercial,0,80,3,2,2,Oui,1,3,1,6,2,Marketing,Y,Frequent,1,0
4,3,1,4,3,3,E_556,4,Oui,23 %,556,38,M,1702,Marié(e),Consulting,Consultant,1,80,1,1,0,Non,1,3,1,2,2,Infra & Cloud,Y,Frequent,0,0
3,3,5,3,4,3,E_558,3,Non,14 %,558,40,F,18041,Marié(e),Commercial,Senior Manager,0,80,21,20,15,Non,0,2,1,2,4,Infra & Cloud,Y,Occasionnel,1,12
1,3,1,4,2,1,E_560,4,Non,22 %,560,26,F,2886,Divorcé(e),Consulting,Assistant de Direction,1,80,3,3,2,Non,2,3,1,23,3,Infra & Cloud,Y,Occasionnel,0,2
3,3,1,4,3,1,E_562,3,Non,15 %,562,30,M,2097,Marié(e),Consulting,Consultant,4,80,9,5,3,Non,1,3,1,3,3,Infra & Cloud,Y,Aucun,1,4
2,2,3,3,3,3,E_564,3,Non,18 %,564,29,M,11935,Marié(e),Consulting,Directeur Technique,1,80,10,10,2,Non,0,2,1,3,4,Transformation Digitale,Y,Occasionnel,0,7
3,2,1,2,2,4,E_565,3,Non,16 %,565,29,F,2546,Marié(e),Consulting,Assistant de Direction,5,80,6,2,2,Oui,0,2,1,25,5,Entrepreunariat,Y,Occasionnel,1,1
1,2,1,4,3,4,E_566,3,Non,12 %,566,19,M,2564,Célibataire,Ressources Humaines,Ressources Humaines,1,80,1,1,0,Oui,0,3,1,2,2,Entrepreunariat,Y,Occasionnel,0,0
3,3,3,1,3,3,E_567,3,Non,11 %,567,30,F,8412,Marié(e),Commercial,Cadre Commercial,0,80,10,9,8,Non,0,3,1,22,4,Autre,Y,Aucun,7,8
1,2,4,4,3,2,E_568,3,Non,12 %,568,57,M,14118,Divorcé(e),Commercial,Senior Manager,3,80,32,1,0,Non,1,3,1,29,3,Marketing,Y,Occasionnel,0,0
2,2,4,3,2,3,E_569,3,Non,15 %,569,50,M,17046,Marié(e),Consulting,Senior Manager,0,80,28,27,10,Non,1,2,1,29,4,Infra & Cloud,Y,Occasionnel,15,7
3,3,1,4,3,2,E_571,3,Non,14 %,571,30,F,2564,Célibataire,Consulting,Consultant,0,80,12,11,7,Non,0,2,1,2,3,Transformation Digitale,Y,Aucun,6,7
3,2,3,1,4,4,E_573,3,Non,19 %,573,60,F,10266,Marié(e),Commercial,Cadre Commercial,4,80,22,18,13,Non,0,5,1,28,3,Marketing,Y,Frequent,13,11
1,3,2,4,3,3,E_574,3,Non,13 %,574,47,F,5070,Divorcé(e),Consulting,Tech Lead,5,80,20,5,0,Non,3,2,1,2,2,Transformation Digitale,Y,Occasionnel,0,4
1,3,4,3,3,1,E_575,3,Non,13 %,575,46,M,17861,Marié(e),Consulting,Directeur Technique,6,80,26,3,2,Non,0,2,1,2,3,Infra & Cloud,Y,Occasionnel,0,1
4,1,1,3,3,3,E_577,3,Non,15 %,577,35,M,4230,Célibataire,Consulting,Consultant,0,80,6,5,4,Non,0,2,1,22,3,Infra & Cloud,Y,Occasionnel,4,3
3,3,2,3,3,3,E_578,3,Non,11 %,578,54,F,3780,Célibataire,Consulting,Consultant,7,80,19,1,0,Non,0,3,1,8,4,Infra & Cloud,Y,Occasionnel,0,0
4,2,1,3,3,3,E_579,3,Non,12 %,579,34,M,2768,Divorcé(e),Consulting,Assistant de Direction,3,80,14,7,3,Non,1,3,1,2,4,Infra & Cloud,Y,Occasionnel,5,7
3,2,3,4,3,3,E_580,3,Oui,19 %,580,46,F,9071,Marié(e),Commercial,Cadre Commercial,2,80,15,3,2,Non,1,3,1,10,3,Marketing,Y,Occasionnel,1,2
3,3,3,2,4,4,E_581,4,Non,25 %,581,31,M,10648,Divorcé(e),Consulting,Tech Lead,1,80,13,13,8,Non,1,6,1,9,1,Infra & Cloud,Y,Occasionnel,0,8
2,3,3,3,4,4,E_582,3,Oui,12 %,582,33,M,13610,Marié(e),Consulting,Senior Manager,7,80,15,7,6,Oui,0,2,1,15,1,Transformation Digitale,Y,Occasionnel,7,7
1,1,1,4,1,3,E_584,3,Non,13 %,584,33,M,3408,Divorcé(e),Consulting,Consultant,7,80,8,4,3,Oui,3,2,1,10,1,Transformation Digitale,Y,Occasionnel,1,3
4,3,1,2,1,3,E_585,3,Non,14 %,585,30,M,2983,Célibataire,Commercial,Représentant Commercial,0,80,4,3,2,Non,0,3,1,7,1,Marketing,Y,Occasionnel,1,2
4,3,3,3,3,3,E_586,3,Oui,12 %,586,35,M,7632,Marié(e),Consulting,Manager,4,80,10,8,7,Non,0,2,1,16,3,Infra & Cloud,Y,Occasionnel,0,0
1,3,3,3,1,3,E_587,3,Non,12 %,587,31,M,9824,Marié(e),Consulting,Manager,3,80,12,1,0,Oui,0,2,1,20,3,Infra & Cloud,Y,Frequent,0,0
2,3,3,1,3,3,E_590,3,Oui,15 %,590,34,F,9950,Divorcé(e),Ressources Humaines,Ressources Humaines,9,80,11,3,2,Oui,3,2,1,23,3,Ressources Humaines,Y,Frequent,0,2
2,3,1,3,4,3,E_591,3,Non,17 %,591,42,M,2093,Marié(e),Consulting,Consultant,4,80,8,2,2,Non,1,4,1,5,2,Autre,Y,Frequent,2,0
2,3,3,4,4,2,E_592,3,Non,14 %,592,36,M,9980,Célibataire,Commercial,Cadre Commercial,1,80,10,10,3,Non,0,3,1,10,4,Transformation Digitale,Y,Aucun,9,7
3,2,1,3,3,3,E_593,3,Non,16 %,593,22,M,3894,Célibataire,Consulting,Consultant,5,80,4,2,2,Oui,0,3,1,4,1,Entrepreunariat,Y,Frequent,1,2
2,3,2,4,1,3,E_595,3,Non,14 %,595,48,F,4051,Marié(e),Commercial,Cadre Commercial,2,80,14,9,7,Non,1,2,1,2,5,Marketing,Y,Occasionnel,6,7
1,3,4,2,4,3,E_597,4,Non,23 %,597,55,F,16835,Célibataire,Commercial,Senior Manager,3,80,37,10,9,Non,0,2,1,18,5,Infra & Cloud,Y,Occasionnel,7,7
4,3,2,4,4,3,E_599,3,Non,14 %,599,41,M,6230,Célibataire,Commercial,Cadre Commercial,7,80,16,14,3,Non,0,3,1,10,2,Infra & Cloud,Y,Aucun,1,10
2,3,2,3,3,3,E_600,3,Non,11 %,600,35,M,4717,Marié(e),Commercial,Cadre Commercial,9,80,15,11,9,Non,0,2,1,1,3,Marketing,Y,Occasionnel,6,9
2,3,4,3,3,3,E_601,3,Non,15 %,601,40,F,13237,Célibataire,Consulting,Tech Lead,7,80,22,20,6,Non,0,3,1,6,3,Infra & Cloud,Y,Occasionnel,5,13
3,3,1,3,1,3,E_602,3,Non,11 %,602,39,F,3755,Marié(e),Consulting,Consultant,1,80,8,8,3,Non,1,3,1,8,1,Infra & Cloud,Y,Frequent,0,7
2,3,2,4,3,4,E_604,3,Oui,13 %,604,31,M,6582,Célibataire,Commercial,Cadre Commercial,4,80,10,6,5,Non,0,2,1,2,1,Infra & Cloud,Y,Occasionnel,0,5
4,3,3,1,4,2,E_605,4,Oui,21 %,605,42,M,7406,Marié(e),Consulting,Tech Lead,1,80,10,10,9,Non,1,5,1,24,3,Transformation Digitale,Y,Occasionnel,5,8
4,3,2,2,2,4,E_606,3,Non,19 %,606,45,M,4805,Marié(e),Commercial,Cadre Commercial,0,80,9,8,7,Non,1,3,1,2,3,Autre,Y,Occasionnel,3,7
2,3,1,3,2,2,E_608,3,Oui,11 %,608,26,F,2741,Divorcé(e),Ressources Humaines,Ressources Humaines,0,80,8,7,7,Oui,1,2,1,17,4,Infra & Cloud,Y,Frequent,1,0
4,3,2,4,2,4,E_611,3,Non,12 %,611,29,M,4262,Divorcé(e),Consulting,Tech Lead,4,80,8,3,2,Non,2,2,1,19,3,Entrepreunariat,Y,Occasionnel,1,2
1,4,4,3,3,3,E_612,3,Non,19 %,612,33,F,16184,Divorcé(e),Consulting,Directeur Technique,4,80,10,6,1,Non,1,2,1,1,5,Transformation Digitale,Y,Occasionnel,0,5
3,2,3,4,3,2,E_613,4,Non,21 %,613,31,M,11557,Divorcé(e),Commercial,Senior Manager,9,80,10,5,4,Non,1,3,1,7,3,Infra & Cloud,Y,Occasionnel,0,1
2,3,1,2,4,3,E_614,3,Oui,14 %,614,18,M,1878,Célibataire,Commercial,Représentant Commercial,1,80,0,0,0,Oui,0,3,1,5,3,Marketing,Y,Frequent,0,0
3,1,3,1,3,3,E_615,3,Non,15 %,615,40,M,10932,Divorcé(e),Commercial,Cadre Commercial,3,80,20,1,0,Non,1,2,1,28,3,Autre,Y,Aucun,0,1
1,2,2,3,1,3,E_616,3,Oui,17 %,616,41,F,6811,Célibataire,Consulting,Manager,2,80,10,8,7,Non,0,3,1,2,4,Autre,Y,Aucun,0,7
1,3,2,3,1,3,E_618,3,Non,12 %,618,26,M,4306,Divorcé(e),Commercial,Cadre Commercial,5,80,8,0,0,Non,2,5,1,29,2,Transformation Digitale,Y,Occasionnel,0,0
1,3,2,3,4,3,E_620,3,Non,16 %,620,35,F,4859,Célibataire,Commercial,Cadre Commercial,1,80,5,5,4,Non,0,3,1,1,3,Transformation Digitale,Y,Occasionnel,0,3
4,4,2,4,4,3,E_621,3,Non,12 %,621,34,M,5337,Célibataire,Commercial,Cadre Commercial,1,80,10,10,7,Non,0,3,1,21,4,Infra & Cloud,Y,Occasionnel,5,7
3,1,1,4,2,1,E_622,3,Oui,18 %,622,26,M,2340,Célibataire,Consulting,Consultant,1,80,1,1,0,Oui,0,3,1,24,3,Entrepreunariat,Y,Occasionnel,0,0
2,3,3,4,4,4,E_623,3,Non,17 %,623,37,F,7491,Célibataire,Consulting,Tech Lead,4,80,12,6,5,Non,0,3,1,1,3,Entrepreunariat,Y,Occasionnel,1,2
1,3,3,3,4,2,E_624,3,Non,11 %,624,46,F,10527,Marié(e),Consulting,Manager,5,80,28,2,2,Non,0,3,1,18,1,Transformation Digitale,Y,Frequent,1,2
2,3,4,1,2,3,E_625,3,Non,16 %,625,41,F,16595,Marié(e),Commercial,Senior Manager,7,80,22,18,16,Non,1,2,1,2,5,Infra & Cloud,Y,Occasionnel,11,8
1,3,3,2,4,3,E_626,3,Non,13 %,626,37,M,8834,Divorcé(e),Commercial,Cadre Commercial,1,80,9,9,5,Non,1,6,1,9,4,Transformation Digitale,Y,Aucun,7,7
4,3,2,1,2,3,E_630,3,Oui,12 %,630,52,M,5577,Divorcé(e),Consulting,Assistant de Direction,3,80,18,10,9,Non,2,3,1,6,2,Entrepreunariat,Y,Occasionnel,6,9
4,4,2,3,4,3,E_631,3,Non,12 %,631,32,M,4707,Marié(e),Commercial,Cadre Commercial,8,80,6,4,2,Oui,0,2,1,11,4,Autre,Y,Aucun,1,2
4,3,1,4,3,3,E_632,3,Non,13 %,632,24,M,2400,Marié(e),Commercial,Représentant Commercial,0,80,3,2,2,Non,2,3,1,24,3,Transformation Digitale,Y,Frequent,2,1
3,3,2,3,3,3,E_634,3,Non,19 %,634,38,F,9824,Marié(e),Consulting,Manager,3,80,18,1,0,Non,1,4,1,10,3,Transformation Digitale,Y,Occasionnel,0,0
2,3,2,2,2,2,E_635,3,Non,12 %,635,37,F,6447,Marié(e),Consulting,Tech Lead,6,80,8,6,5,Non,1,2,1,1,4,Infra & Cloud,Y,Occasionnel,4,3
4,2,5,3,3,3,E_638,3,Oui,17 %,638,49,M,19502,Divorcé(e),Consulting,Directeur Technique,1,80,31,31,9,Non,1,5,1,18,4,Infra & Cloud,Y,Occasionnel,0,9
2,4,1,4,2,3,E_639,3,Oui,11 %,639,24,M,2725,Marié(e),Consulting,Assistant de Direction,1,80,6,6,5,Non,2,3,1,23,3,Transformation Digitale,Y,Occasionnel,1,4
1,3,2,2,4,4,E_641,4,Non,20 %,641,26,M,6272,Marié(e),Commercial,Cadre Commercial,1,80,6,5,3,Non,2,5,1,28,2,Marketing,Y,Occasionnel,1,4
4,2,1,2,4,3,E_643,4,Non,21 %,643,24,M,2127,Marié(e),Consulting,Consultant,1,80,1,1,0,Non,1,2,1,17,2,Autre,Y,Occasionnel,0,0
1,3,5,2,3,3,E_644,3,Non,11 %,644,50,M,18200,Marié(e),Ressources Humaines,Senior Manager,1,80,32,32,5,Non,1,2,1,3,3,Transformation Digitale,Y,Frequent,10,7
2,3,1,3,3,3,E_645,3,Non,11 %,645,25,M,2096,Marié(e),Commercial,Représentant Commercial,1,80,7,7,4,Non,0,1,1,13,1,Transformation Digitale,Y,Occasionnel,0,6
1,3,1,3,4,3,E_647,3,Oui,16 %,647,24,F,2886,Marié(e),Consulting,Consultant,1,80,6,6,3,Oui,1,4,1,7,3,Infra & Cloud,Y,Frequent,1,2
2,2,1,1,3,4,E_648,3,Non,18 %,648,30,M,2033,Marié(e),Commercial,Représentant Commercial,1,80,1,1,0,Oui,1,2,1,12,4,Infra & Cloud,Y,Frequent,0,0
2,2,1,4,4,3,E_649,3,Oui,13 %,649,34,M,3622,Marié(e),Consulting,Assistant de Direction,1,80,6,6,5,Non,1,3,1,1,2,Infra & Cloud,Y,Occasionnel,1,3
2,3,2,1,3,1,E_650,3,Non,17 %,650,31,M,4233,Divorcé(e),Commercial,Cadre Commercial,2,80,9,3,1,Oui,0,2,1,13,4,Transformation Digitale,Y,Occasionnel,1,2
1,2,2,4,4,3,E_652,3,Non,14 %,652,35,M,3681,Célibataire,Consulting,Consultant,4,80,9,3,2,Non,0,3,1,25,2,Autre,Y,Occasionnel,0,2
1,4,2,4,4,4,E_653,4,Non,22 %,653,31,M,5460,Divorcé(e),Commercial,Cadre Commercial,4,80,13,7,7,Non,2,4,1,6,4,Transformation Digitale,Y,Occasionnel,5,7
1,2,1,3,3,2,E_655,3,Non,12 %,655,27,F,2187,Divorcé(e),Consulting,Assistant de Direction,0,80,6,5,3,Non,2,5,1,6,4,Transformation Digitale,Y,Occasionnel,0,3
4,3,2,3,3,2,E_656,3,Oui,11 %,656,37,M,9602,Marié(e),Commercial,Cadre Commercial,4,80,17,3,0,Non,1,3,1,2,3,Marketing,Y,Occasionnel,1,0
4,2,1,2,4,4,E_657,3,Non,13 %,657,20,F,2836,Célibataire,Consulting,Assistant de Direction,1,80,1,1,0,Non,0,0,1,1,3,Infra & Cloud,Y,Occasionnel,0,0
3,3,2,4,2,3,E_659,3,Non,13 %,659,42,F,4089,Marié(e),Consulting,Manager,1,80,10,10,2,Non,2,4,1,2,4,Infra & Cloud,Y,Occasionnel,2,2
2,2,4,4,3,2,E_661,3,Oui,14 %,661,43,M,16627,Divorcé(e),Consulting,Directeur Technique,4,80,21,1,0,Non,1,3,1,6,4,Autre,Y,Occasionnel,0,0
3,3,1,1,4,2,E_662,3,Non,17 %,662,38,F,2619,Célibataire,Consulting,Assistant de Direction,3,80,8,0,0,Non,0,3,1,1,1,Infra & Cloud,Y,Occasionnel,0,0
4,3,2,3,2,3,E_663,3,Oui,13 %,663,43,M,5679,Divorcé(e),Consulting,Consultant,3,80,10,8,7,Non,1,3,1,9,5,Transformation Digitale,Y,Frequent,4,7
4,2,4,1,1,1,E_664,3,Non,11 %,664,48,F,15402,Marié(e),Consulting,Senior Manager,7,80,21,3,2,Non,1,3,1,1,4,Infra & Cloud,Y,Occasionnel,0,2
1,2,2,3,2,4,E_665,3,Non,11 %,665,44,F,5985,Célibataire,Ressources Humaines,Ressources Humaines,4,80,10,2,2,Non,0,1,1,1,4,Infra & Cloud,Y,Occasionnel,0,2
3,3,1,3,4,3,E_666,3,Oui,18 %,666,34,F,2579,Divorcé(e),Commercial,Représentant Commercial,1,80,8,8,2,Non,2,3,1,14,3,Entrepreunariat,Y,Occasionnel,0,6
3,3,1,1,2,3,E_667,3,Non,11 %,667,27,M,3041,Divorcé(e),Commercial,Représentant Commercial,0,80,5,4,3,Oui,1,3,1,2,1,Marketing,Y,Occasionnel,0,2
3,3,1,3,3,3,E_669,3,Non,11 %,669,21,M,3447,Célibataire,Commercial,Représentant Commercial,1,80,3,3,2,Non,0,2,1,22,1,Entrepreunariat,Y,Occasionnel,1,2
4,3,5,4,1,4,E_671,3,Oui,12 %,671,44,M,19513,Marié(e),Consulting,Senior Manager,4,80,26,2,2,Non,1,2,1,3,4,Autre,Y,Occasionnel,0,1
1,3,1,3,4,3,E_675,4,Non,20 %,675,22,M,2773,Marié(e),Consulting,Assistant de Direction,0,80,3,2,2,Non,0,3,1,6,1,Transformation Digitale,Y,Occasionnel,2,2
3,3,2,3,4,3,E_677,3,Non,12 %,677,33,M,7104,Divorcé(e),Commercial,Cadre Commercial,0,80,6,5,0,Non,0,3,1,8,4,Marketing,Y,Occasionnel,1,2
1,3,2,4,4,2,E_679,3,Oui,12 %,679,32,F,6322,Marié(e),Consulting,Assistant de Direction,1,80,6,6,4,Non,1,2,1,9,4,Infra & Cloud,Y,Occasionnel,0,5
3,3,1,3,3,3,E_680,4,Non,20 %,680,30,F,2083,Divorcé(e),Consulting,Assistant de Direction,1,80,1,1,0,Non,1,2,1,3,3,Transformation Digitale,Y,Frequent,0,0
4,3,2,1,4,4,E_682,4,Non,20 %,682,53,F,8381,Célibataire,Commercial,Cadre Commercial,7,80,18,14,7,Non,0,2,1,1,1,Transformation Digitale,Y,Occasionnel,8,10
2,3,1,4,4,2,E_683,3,Non,12 %,683,34,M,2691,Marié(e),Consulting,Assistant de Direction,1,80,10,10,9,Non,1,4,1,1,5,Infra & Cloud,Y,Occasionnel,8,8
1,3,2,1,4,3,E_684,3,Non,14 %,684,45,F,4286,Marié(e),Commercial,Cadre Commercial,2,80,5,1,1,Oui,2,4,1,26,4,Infra & Cloud,Y,Frequent,0,0
3,3,1,4,3,3,E_686,3,Oui,13 %,686,26,F,2659,Marié(e),Consulting,Consultant,1,80,3,3,2,Non,1,2,1,6,3,Infra & Cloud,Y,Occasionnel,0,2
3,3,3,3,3,3,E_689,3,Non,15 %,689,37,M,9434,Marié(e),Consulting,Tech Lead,1,80,10,10,7,Non,1,2,1,3,3,Autre,Y,Occasionnel,7,8
2,3,2,3,1,2,E_690,3,Non,14 %,690,29,F,5561,Marié(e),Commercial,Cadre Commercial,1,80,6,6,0,Non,1,5,1,3,2,Transformation Digitale,Y,Occasionnel,1,2
2,1,2,4,2,3,E_691,3,Non,13 %,691,35,M,6646,Célibataire,Consulting,Assistant de Direction,1,80,17,17,11,Non,0,3,1,6,4,Infra & Cloud,Y,Occasionnel,11,8
3,3,2,4,3,1,E_692,4,Non,23 %,692,33,M,7725,Divorcé(e),Consulting,Manager,3,80,15,13,11,Non,1,2,1,6,3,Infra & Cloud,Y,Frequent,4,7
3,3,3,2,3,4,E_698,3,Non,15 %,698,54,M,10725,Marié(e),Ressources Humaines,Ressources Humaines,2,80,16,9,7,Non,1,1,1,19,4,Transformation Digitale,Y,Occasionnel,7,1
2,2,2,2,3,3,E_699,3,Oui,11 %,699,36,M,8847,Divorcé(e),Consulting,Tech Lead,2,80,13,3,2,Non,1,2,1,9,2,Transformation Digitale,Y,Occasionnel,0,2
1,2,1,4,4,3,E_700,3,Non,13 %,700,27,M,2045,Célibataire,Consulting,Assistant de Direction,0,80,5,4,2,Non,0,0,1,3,4,Transformation Digitale,Y,Occasionnel,1,1
4,3,1,3,4,3,E_701,3,Oui,11 %,701,20,M,1009,Célibataire,Consulting,Assistant de Direction,1,80,1,1,0,Oui,0,5,1,10,1,Transformation Digitale,Y,Occasionnel,1,1
1,3,1,1,1,3,E_702,3,Oui,11 %,702,33,M,3348,Célibataire,Consulting,Assistant de Direction,1,80,10,10,8,Oui,0,3,1,3,3,Infra & Cloud,Y,Frequent,9,7
3,2,1,3,3,3,E_704,3,Non,18 %,704,35,M,1281,Marié(e),Consulting,Consultant,1,80,1,1,0,Non,2,3,1,3,3,Infra & Cloud,Y,Aucun,0,0
1,4,1,1,1,4,E_705,3,Non,16 %,705,23,M,2819,Marié(e),Consulting,Assistant de Direction,2,80,5,3,2,Non,1,3,1,4,3,Transformation Digitale,Y,Occasionnel,0,2
4,4,2,2,3,3,E_707,4,Non,22 %,707,25,M,4851,Marié(e),Commercial,Cadre Commercial,0,80,4,3,2,Non,1,4,1,8,3,Infra & Cloud,Y,Occasionnel,1,2
4,2,2,4,1,3,E_709,4,Non,20 %,709,38,F,4028,Célibataire,Commercial,Cadre Commercial,0,80,8,7,7,Non,0,2,1,7,4,Marketing,Y,Occasionnel,0,5
2,1,1,4,4,3,E_710,3,Non,18 %,710,29,M,2720,Divorcé(e),Consulting,Assistant de Direction,1,80,10,10,7,Non,1,5,1,1,4,Infra & Cloud,Y,Frequent,2,8
